Model,Architecture,Activation,LR,Params,Train Acc,Test Acc
exp4_deep_wide,60-128-64-32-16-1,ReLU,0.001,18689,1.0,0.9047619104385376
exp2_shallow_wide,60-128-64-1,ReLU,0.001,16129,1.0,0.9047619104385376
exp1_shallow_narrow,60-16-8-1,ReLU,0.001,1121,1.0,0.9047619104385376
MLP v1,FILL IN YOUR ARCHITECTURE e.g. 60-64-32-1,FILL IN e.g. ReLU,0.001,16129,1.0,0.9047619104385376
exp4_deep_wide,60-128-64-32-16-1,ReLU,0.001,18689,1.0,0.9047619104385376
exp2_shallow_wide,60-128-64-1,ReLU,0.001,16129,1.0,0.9047619104385376
exp1_shallow_narrow,60-16-8-1,ReLU,0.001,1121,1.0,0.9047619104385376
MLP v1,FILL IN YOUR ARCHITECTURE e.g. 60-64-32-1,FILL IN e.g. ReLU,0.001,16129,1.0,0.9047619104385376
exp3_deep_narrow,60-16-16-16-16-1,ReLU,0.001,1809,1.0,0.8809523582458496
exp3_deep_narrow,60-16-16-16-16-1,ReLU,0.001,1809,1.0,0.8809523582458496
Linear,60-1,sigmoid,0.01,61,0.9337349534034729,0.8333333134651184
Linear,60-1,sigmoid,0.01,61,0.9337349534034729,0.8333333134651184
exp5_sigmoid_activation,60-128-64-32-16-1,Sigmoid,0.001,18689,0.9337349534034729,0.7857142686843872
exp5_sigmoid_activation,60-128-64-32-16-1,Sigmoid,0.001,18689,0.9337349534034729,0.7857142686843872
,,,,,,
